2025/03/15 - 16:38:27 | 200 |           0s |                 ::1 | OPTIONS /api/halls
2025/03/15 - 16:38:27 | 401 |           0s |                 ::1 | GET     /api/halls
2025/03/15 - 16:39:04 | 200 |           0s |                 ::1 | OPTIONS /api/halls
2025/03/15 - 16:39:04 | 401 |           0s |                 ::1 | GET     /api/halls
2025/03/15 - 16:39:04 | 401 |      563.3µs |                 ::1 | GET     /api/halls
2025/03/15 - 16:39:26 | 200 |           0s |                 ::1 | OPTIONS /api/halls
2025/03/15 - 16:39:26 | 401 |      530.6µs |                 ::1 | GET     /api/halls
2025/03/15 - 16:40:12 | 200 |      506.6µs |                 ::1 | OPTIONS /api/halls
2025/03/15 - 16:40:12 | 401 |      516.6µs |                 ::1 | GET     /api/halls
2025/03/15 - 16:40:13 | 401 |      522.2µs |                 ::1 | GET     /api/halls
2025/03/15 - 16:40:24 | 200 |           0s |                 ::1 | OPTIONS /api/halls
2025/03/15 - 16:40:24 | 403 |     1.5639ms |                 ::1 | GET     /api/halls
2025/03/15 - 16:41:42 | 200 |      525.1µs |                 ::1 | OPTIONS /api/halls
2025/03/15 - 16:41:42 | 403 |     5.2756ms |                 ::1 | GET     /api/halls
2025/03/15 - 16:41:43 | 403 |     1.5935ms |                 ::1 | GET     /api/halls
2025/03/15 - 16:42:11 | 200 |           0s |                 ::1 | OPTIONS /api/halls
2025/03/15 - 16:42:11 | 403 |     3.1303ms |                 ::1 | GET     /api/halls
2025/03/15 - 16:42:51 | 200 |           0s |                 ::1 | OPTIONS /api/halls
2025/03/15 - 16:42:51 | 403 |     4.1616ms |                 ::1 | GET     /api/halls
2025/03/15 - 16:49:57 | 200 |           0s |           127.0.0.1 | OPTIONS /api/login
2025/03/15 - 16:49:57 | 200 |    51.8427ms |           127.0.0.1 | POST    /api/login
2025/03/15 - 16:50:02 | 200 |           0s |           127.0.0.1 | OPTIONS /api/login
2025/03/15 - 16:50:02 | 200 |    49.2457ms |           127.0.0.1 | POST    /api/login
2025/03/15 - 16:50:15 | 200 |           0s |           127.0.0.1 | OPTIONS /api/login
2025/03/15 - 16:50:15 | 200 |    51.6632ms |           127.0.0.1 | POST    /api/login
2025/03/15 - 16:52:21 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/03/15 - 16:52:21 | 200 |     49.204ms |                 ::1 | POST    /api/login
2025/03/15 - 16:52:25 | 200 |    52.2972ms |                 ::1 | POST    /api/login
2025/03/15 - 16:52:58 | 404 |           0s |                 ::1 | GET     /api/login
2025/03/15 - 16:53:37 | 200 |           0s |                 ::1 | OPTIONS /api/login
