2025/02/07 - 19:20:27 | 401 |     1.0437ms |                 ::1 | POST    /api/login
2025/02/07 - 19:20:28 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:20:28 | 401 |     1.0565ms |                 ::1 | POST    /api/login
2025/02/07 - 19:20:29 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:20:29 | 401 |     1.0936ms |                 ::1 | POST    /api/login
2025/02/07 - 19:20:30 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:20:30 | 401 |      1.047ms |                 ::1 | POST    /api/login
2025/02/07 - 19:20:31 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:20:31 | 401 |     1.0535ms |                 ::1 | POST    /api/login
2025/02/07 - 19:20:32 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:20:32 | 401 |     1.0461ms |                 ::1 | POST    /api/login
2025/02/07 - 19:20:37 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:20:37 | 401 |     1.0504ms |                 ::1 | POST    /api/login
2025/02/07 - 19:20:42 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:20:42 | 401 |      1.048ms |                 ::1 | POST    /api/login
2025/02/07 - 19:20:49 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:20:49 | 401 |     1.0501ms |                 ::1 | POST    /api/login
2025/02/07 - 19:20:50 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:20:50 | 401 |     1.1532ms |                 ::1 | POST    /api/login
2025/02/07 - 19:20:50 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:20:50 | 401 |      524.3µs |                 ::1 | POST    /api/login
2025/02/07 - 19:20:50 | 200 |        507µs |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:20:50 | 401 |      1.076ms |                 ::1 | POST    /api/login
2025/02/07 - 19:20:54 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:20:54 | 401 |     1.0415ms |                 ::1 | POST    /api/login
2025/02/07 - 19:20:54 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:20:54 | 401 |      521.8µs |                 ::1 | POST    /api/login
2025/02/07 - 19:20:54 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:20:54 | 401 |     1.1902ms |                 ::1 | POST    /api/login
2025/02/07 - 19:20:54 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:20:54 | 401 |     1.0639ms |                 ::1 | POST    /api/login
2025/02/07 - 19:20:54 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:20:54 | 401 |     1.0687ms |                 ::1 | POST    /api/login
